id,student_name,age,admission,major_id
539,김현원,20,2025,11
540,이연주,20,2025,6
541,염재민,26,2019,13
542,박예련,24,2021,7
543,황도역,21,2024,14
544,장다윤,25,2020,10
545,정희준,26,2019,5
546,천수연,22,2023,17
547,황신훈,22,2023,13
548,정윤하,23,2022,15
549,한태찬,22,2023,6
550,홍혀주,21,2024,16
551,신진호,25,2020,11
552,김소린,24,2021,14
553,이병호,22,2023,8
554,최다연,21,2024,10
555,고동수,22,2023,12
556,정유희,20,2025,15
557,김시수,26,2019,17
558,이지라,26,2019,10
559,조신수,22,2023,6
560,조재저,21,2024,7
561,한성운,23,2022,9
562,이주연,26,2019,7
563,안태현,22,2023,9
564,유지윤,23,2022,13
565,김낭춘,20,2025,13
566,강규현,20,2025,14
567,정면재,23,2022,11
568,최서경,21,2024,1
569,유정연,24,2021,9
570,안서빈,20,2025,12
571,심형민,23,2022,10
572,김유연,22,2023,5
573,장주벅,25,2020,9
574,박고예,23,2022,7
575,안성응,26,2019,5
576,정세지,23,2022,4
577,한승현,26,2019,13
578,김보주,23,2022,11
579,이진환,25,2020,13
580,고지재,24,2021,14
581,김친민,25,2020,5
582,이지희,20,2025,8
583,정정견,20,2025,1
584,김지현,20,2025,6
585,정성민,20,2025,10
586,엄주빈,22,2023,13
587,강휘혼,24,2021,15
588,고민영,26,2019,17
589,김겨해,24,2021,6
590,김세다,24,2021,17
591,정진천,23,2022,5
592,김은연,24,2021,12
593,이준철,26,2019,13
594,이수연,25,2020,7
595,윤전견,25,2020,7
596,정수린,26,2019,13
597,정면인,22,2023,6
598,배희은,20,2025,13
599,임성재,22,2023,14
600,박성연,21,2024,12
601,장경성,23,2022,11
602,김연인,23,2022,12
603,임성규,21,2024,8
604,이애혜,23,2022,8
605,권동준,25,2020,12
606,김아영,21,2024,13
607,정긴번,25,2020,13
608,임서희,23,2022,11
609,우민영,22,2023,6
610,이혜빈,21,2024,13
611,김인호,25,2020,14
612,임유빈,21,2024,2
613,유종성,20,2025,17
614,남서연,20,2025,11
615,이두설,20,2025,8
616,신지원,24,2021,8
617,채재태,24,2021,9
618,조긍연,25,2020,7
619,정세재,20,2025,5
620,김다현,25,2020,10
621,하승현,22,2023,8
622,김하연,21,2024,7
623,배항현,25,2020,3
624,차승현,25,2020,2
625,우진태,24,2021,11
626,김연연,20,2025,8
627,김요재,23,2022,7
628,황지현,21,2024,7
629,박지운,26,2019,15
630,장나준,25,2020,10
631,정응현,21,2024,15
632,정규은,22,2023,13
633,고재준,22,2023,6
634,양나견,26,2019,5
635,나청희,21,2024,12
636,조현현,23,2022,11
637,김희현,21,2024,10
638,김다민,24,2021,7
639,황응조,20,2025,15
640,유민연,24,2021,5
641,이승우,24,2021,13
642,고주진,20,2025,8
643,유주웅,23,2022,12
644,김지연,26,2019,12
645,신주사,23,2022,7
646,김성나,23,2022,17
647,이지성,22,2023,1
648,유수윤,20,2025,5
649,조창빈,21,2024,5
650,김민희,24,2021,11
651,이창근,25,2020,14
652,최희린,22,2023,10
653,김용성,20,2025,9
654,이다주,23,2022,11
655,조병현,21,2024,15
656,윤유영,25,2020,6
657,박동찬,24,2021,13
658,김혜주,21,2024,14
659,정창석,20,2025,9
660,방저현,20,2025,12
661,김성영,21,2024,8
662,박민연,24,2021,10
663,김진조,20,2025,5
664,김민전,23,2022,9
665,김전환,21,2024,7
666,제예수,20,2025,14
667,서원영,25,2020,7
668,박소진,24,2021,8
669,김성민,24,2021,14
670,이가현,26,2019,17
671,홍세민,20,2025,11
672,김시진,22,2023,17
673,김성훈,20,2025,13
674,하연윤,25,2020,14
675,김재규,22,2023,10
676,이주현,22,2023,14
677,민홍역,25,2020,10
678,전초지,25,2020,17
679,정종성,25,2020,13
680,정유영,25,2020,14
681,최종진,25,2020,11
682,서수경,20,2025,14
683,권훈하,25,2020,12
684,김민나,25,2020,6
685,정승준,23,2022,6
686,차효빈,20,2025,11
687,김진규,20,2025,11
688,한지원,25,2020,17
689,곽대환,21,2024,6
690,오은지,20,2025,10
691,한신민,23,2022,13
692,이수연,26,2019,5
693,이세면,21,2024,14
694,강하저,25,2020,7
695,윤용주,24,2021,8
696,정세린,26,2019,10
697,정형평,26,2019,5
698,이수희,22,2023,5
699,김세호,23,2022,3
700,이현은,24,2021,2
701,이기기,21,2024,15
702,박다경,22,2023,14
703,이한전,20,2025,1
704,김채린,24,2021,17
705,문상선,22,2023,9
706,박시원,26,2019,1
707,차강훈,26,2019,9
708,이어연,22,2023,5
709,정대석,22,2023,8
710,김지라,23,2022,4
711,지상희,21,2024,6
712,이지주,22,2023,4
713,김현원,26,2019,14
714,장유진,22,2023,17
715,방주세,21,2024,7
716,양소민,23,2022,2
717,박동형,25,2020,8
718,이초은,23,2022,4
719,이태한,23,2022,5
720,최조은,25,2020,17
721,황태희,22,2023,13
722,김하희,24,2021,9
723,정지현,20,2025,8
724,김시홍,25,2020,14
725,오겅연,22,2023,17
726,신미연,23,2022,8
727,최진정,21,2024,13
728,박혜은,22,2023,6
729,곽정준,20,2025,9
730,고소연,21,2024,8
731,황민인,23,2022,7
732,이수빈,23,2022,9
733,한희오,26,2019,10
734,송현경,26,2019,6
735,신민훈,20,2025,7
736,서시연,25,2020,3
737,서성태,22,2023,10
738,장은재,25,2020,14
739,박성찬,23,2022,12
740,김승현,26,2019,11
741,서태버,22,2023,12
742,김세진,21,2024,12
743,김찬현,24,2021,7
744,이주영,20,2025,14
745,송전재,26,2019,7
746,강유선,26,2019,7
747,최사눈,22,2023,5
748,조서연,25,2020,9
749,김지성,23,2022,4
750,안민진,22,2023,8
751,황성진,23,2022,14
752,김주하,21,2024,14
753,하재한,24,2021,10
754,이혜희,26,2019,17
755,강유균,24,2021,6
756,백유민,20,2025,13
757,정창희,26,2019,10
758,조서하,22,2023,16
759,우홍회,22,2023,8
760,임세빈,21,2024,5
761,원성현,25,2020,10
762,박고주,24,2021,1
763,홍기성,20,2025,5
764,김지저,24,2021,12
765,장종린,20,2025,10
766,정유빈,22,2023,13
767,김홍성,21,2024,17
768,김세현,24,2021,12
769,김성우,20,2025,13
770,최은현,26,2019,12
771,전상영,23,2022,16
772,진도진,24,2021,11
773,강경준,25,2020,11
774,임수빈,24,2021,10
775,이지연,21,2024,14
776,최시인,23,2022,14
777,서한주,20,2025,14
778,이서은,25,2020,6
779,정문형,21,2024,9
780,김민원,24,2021,8
781,이성석,26,2019,1
782,배슨은,22,2023,13
783,차재운,21,2024,15
784,장서진,22,2023,14
785,김청균,20,2025,7
786,양수진,23,2022,10
787,김현현,25,2020,5
788,박다원,20,2025,12
789,김형긴,26,2019,13
790,김소연,25,2020,9
791,지인준,24,2021,12
792,노수안,26,2019,8
793,최겅호,20,2025,10
794,홍민린,20,2025,14
795,박혜현,25,2020,8
796,정예현,23,2022,13
797,임승우,22,2023,6
798,박민은,20,2025,14
799,이진영,25,2020,2
800,김민나,21,2024,2
801,김연섭,25,2020,5
802,손소연,21,2024,14
803,이웅현,21,2024,7
804,유채연,26,2019,2
805,김한현,24,2021,5
806,이채빈,21,2024,11
807,박도환,23,2022,10
808,김보지,24,2021,10
809,장조피,23,2022,13
810,김소현,22,2023,17
811,주윤호,22,2023,12
812,조소소,22,2023,11
813,김경인,26,2019,10
814,이혜린,22,2023,8
815,이동민,22,2023,14
816,구도영,24,2021,7
817,안상진,23,2022,10
818,변가선,23,2022,6
819,홍동원,25,2020,6
820,홍승아,23,2022,7
821,김태원,23,2022,9
822,차현현,25,2020,12
823,이낙욱,22,2023,16
824,김다채,23,2022,7
825,강창석,24,2021,10
826,최새경,24,2021,1
827,김준연,25,2020,4
828,장유은,23,2022,16
829,김찬형,26,2019,12
830,안혜견,23,2022,11
831,백동규,24,2021,13
832,유지연,25,2020,11
833,김상우,22,2023,17
834,김유빈,22,2023,10
835,백양린,26,2019,12
836,양서연,22,2023,10
837,김정준,22,2023,13
838,홍민연,22,2023,7
839,장장하,21,2024,14
840,정지린,22,2023,17
841,박주연,21,2024,16
842,함다원,24,2021,7
843,정도윤,22,2023,8
844,박예긴,23,2022,6
845,박영호,25,2020,2
846,장지린,23,2022,1
847,정윤균,23,2022,11
848,정슨연,26,2019,1
849,김종형,26,2019,7
850,정지형,24,2021,6
851,김용신,20,2025,8
852,권지윤,22,2023,10
853,김봉민,23,2022,14
854,옥민현,25,2020,13
855,정재순,20,2025,5
856,송현연,25,2020,5
857,이상석,26,2019,9
858,안수희,20,2025,12
859,김봉우,23,2022,5
860,황유빈,23,2022,10
861,홍면관,23,2022,7
862,김하연,20,2025,5
863,김세현,23,2022,1
864,지호현,23,2022,13
865,이태수,24,2021,13
866,김소림,23,2022,15
867,전윤영,20,2025,7
868,전서영,21,2024,11
869,박경앙,20,2025,8
870,임혜재,25,2020,17
871,김도리,26,2019,4
872,조지경,20,2025,13
873,모민현,23,2022,9
874,이윤지,26,2019,5
875,박벙환,21,2024,10
876,이주원,22,2023,8
877,이항재,23,2022,5
878,정은현,25,2020,17
879,김면형,26,2019,8
880,김주준,26,2019,6
881,이승천,20,2025,13
882,문소연,24,2021,1
883,고성훈,26,2019,8
884,정서원,20,2025,5
885,한현혁,21,2024,5
886,김지현,20,2025,16
887,조재현,23,2022,1
888,조시영,26,2019,14
889,김도민,25,2020,12
890,이무혜,20,2025,12
891,유몽태,26,2019,3
892,최지미,22,2023,14
893,이운현,21,2024,15
894,정연경,20,2025,8
895,안한호,26,2019,1
896,권혜연,25,2020,3
897,서겅로,23,2022,12
898,이유은,21,2024,11
899,정찬연,23,2022,7
900,권지은,21,2024,6
901,전경현,25,2020,7
902,정서안,20,2025,8
903,문운천,21,2024,10
904,한하서,25,2020,14
905,이효찬,24,2021,10
906,김예서,23,2022,7
907,유준우,26,2019,17
908,김슨현,21,2024,11
909,김형운,20,2025,2
910,이민서,20,2025,11
911,윤찬원,25,2020,5
912,이혜현,25,2020,15
913,이현조,22,2023,14
914,남지연,24,2021,14
915,조주헌,20,2025,10
916,김채민,25,2020,5
917,김인환,26,2019,14
918,이재진,24,2021,14
919,정동성,22,2023,11
920,전민진,20,2025,11
921,정승필,22,2023,13
922,오수혜,26,2019,10
923,손재준,25,2020,4
924,조은연,22,2023,8
925,김홍수,22,2023,12
926,구나민,26,2019,12
927,임상관,21,2024,8
928,한미아,25,2020,14
929,박주준,25,2020,10
930,박서주,25,2020,8
931,이수혁,25,2020,5
932,김유연,24,2021,17
933,유수전,20,2025,16
934,임지민,25,2020,10
935,박자연,26,2019,13
936,김주겅,24,2021,11
937,김진훈,25,2020,10
938,최리희,24,2021,11
939,장윤준,25,2020,2
940,권지아,25,2020,13
941,최영균,26,2019,17
942,이민연,24,2021,7
943,강동희,26,2019,17
944,조민원,23,2022,13
945,김홍권,22,2023,7
946,이저저,20,2025,9
947,임승훈,20,2025,11
948,이유은,20,2025,4
949,김구준,21,2024,13
950,손서은,20,2025,9
951,안종수,20,2025,3
952,박민현,21,2024,12
953,최상균,20,2025,9
954,송다영,24,2021,7
955,국대빈,23,2022,13
956,강다윤,23,2022,5
957,이균환,24,2021,2
958,하은진,25,2020,7
959,명민현,24,2021,17
960,나하주,24,2021,2
961,박형준,20,2025,15
962,김다연,23,2022,15
963,조현형,20,2025,9
964,구유지,25,2020,10
965,김창균,22,2023,9
966,김휘은,23,2022,13
967,김상균,20,2025,16
968,이희인,21,2024,4
969,허성면,22,2023,8
970,서미진,20,2025,8
971,박진수,26,2019,7
972,이연원,21,2024,11
973,윤민태,26,2019,15
974,오예애,24,2021,12
975,김재진,23,2022,1
976,김주윤,20,2025,6
977,양정석,21,2024,15
978,박지은,25,2020,14
979,오조윤,23,2022,17
980,황소연,20,2025,13
981,김준진,25,2020,12
982,홍언은,24,2021,5
983,남진성,24,2021,6
984,김은아,24,2021,13
985,권전환,23,2022,12
986,한현연,25,2020,9
987,이병주,26,2019,4
988,양유연,23,2022,13
989,김영재,25,2020,17
990,박주영,21,2024,11
991,구필석,25,2020,11
992,김가진,21,2024,8
993,김정연,22,2023,10
994,김은연,22,2023,16
995,이승전,26,2019,11
996,김지연,25,2020,9
997,박승긴,21,2024,10
998,홍소은,21,2024,17
999,서대현,23,2022,13
1000,이민아,22,2023,8
1001,유재낙,20,2025,9
1002,김미경,22,2023,9
1003,최경학,24,2021,13
1004,고예진,23,2022,13
1005,박창희,23,2022,10
1006,한하원,25,2020,11
1007,정영웅,26,2019,17
1008,안지연,20,2025,13
1009,이견훈,20,2025,14
1010,성서현,23,2022,2
1011,이한연,21,2024,7
1012,유지경,24,2021,14
1013,오창성,26,2019,14
1014,박서인,22,2023,9
1015,김항호,24,2021,12
1016,박근연,24,2021,6
1017,김영연,23,2022,13
1018,박시어,21,2024,11
1019,유이균,23,2022,5
1020,이나언,23,2022,13
1021,이시구,20,2025,5
1022,김수진,26,2019,6
1023,최성선,24,2021,2
1024,김예희,22,2023,12
1025,이지준,22,2023,9
1026,김민은,22,2023,11
1027,이민긱,20,2025,17
1028,이이현,22,2023,6
1029,주강환,22,2023,14
1030,양예빈,23,2022,11
1031,김주석,25,2020,2
1032,엄지수,26,2019,7
1033,김인신,20,2025,8
1034,정주진,20,2025,14
1035,국조준,24,2021,11
1036,김시저,24,2021,5
1037,이민형,20,2025,12
1038,김서경,25,2020,8
1039,신영현,25,2020,13
1040,최민라,21,2024,14
1041,배성랙,23,2022,17
1042,김예은,26,2019,8
1043,박동재,24,2021,11
1044,신서현,25,2020,12
1045,남경준,24,2021,5
1046,이세연,20,2025,9
1047,금지호,24,2021,4
1048,박지현,22,2023,10
1049,박민현,21,2024,14
1050,도유원,23,2022,13
